Date,Close
22-07-2024,24509.25
23-07-2024,24479.05
24-07-2024,24413.5
25-07-2024,24406.1
26-07-2024,24834.85
29-07-2024,24836.1
30-07-2024,24857.3
31-07-2024,24951.15
01-08-2024,25010.9
02-08-2024,24717.7
05-08-2024,24055.6
06-08-2024,23992.55
07-08-2024,24297.5
08-08-2024,24117
09-08-2024,24367.5
12-08-2024,24347
13-08-2024,24139
14-08-2024,24143.75
16-08-2024,24541.15
19-08-2024,24572.65
20-08-2024,24698.85
21-08-2024,24770.2
22-08-2024,24811.5
23-08-2024,24823.15
26-08-2024,25010.6
27-08-2024,25017.75
28-08-2024,25052.35
29-08-2024,25151.95
30-08-2024,25235.9
02-09-2024,25278.7
03-09-2024,25279.85
04-09-2024,25198.7
05-09-2024,25145.1
06-09-2024,24852.15
09-09-2024,24936.4
10-09-2024,25041.1
11-09-2024,24918.45
12-09-2024,25388.9
13-09-2024,25356.5
16-09-2024,25383.75
17-09-2024,25418.55
18-09-2024,25377.55
19-09-2024,25415.8
20-09-2024,25790.95
23-09-2024,25939.05
24-09-2024,25940.4
25-09-2024,26004.15
26-09-2024,26216.05
27-09-2024,26178.95
30-09-2024,25810.85
01-10-2024,25796.9
03-10-2024,25250.1
04-10-2024,25014.6
07-10-2024,24795.75
08-10-2024,25013.15
09-10-2024,24981.95
10-10-2024,24998.45
11-10-2024,24964.25
14-10-2024,25127.95
15-10-2024,25057.35
16-10-2024,24971.3
17-10-2024,24749.85
18-10-2024,24854.05
